top_level,subject_id,phase,tasks_present,missing_tasks,n_missing
12_Months,M24928,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24957,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M24957,E2,['maap'],"['arm_restraint', 'freeplay', 'nail_clipping', 'still_face']",4
12_Months,M25179,E1,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,N194,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N194,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N208,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N231,E1,['arm_restraint'],"['freeplay', 'maap', 'nail_clipping', 'still_face']",4
12_Months,N410,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N419,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,N507,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N507,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N564,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N564,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N643,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N643,E2,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,N801,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,T1366,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
